Date,Name,Momentum
2021-11-05,AMZN,183.4399999999996
2018-02-26,AMZN,182.35000000000014
2021-06-16,AMZN,181.26000000000022
2020-06-09,AMZN,179.0
2018-12-03,AMZN,178.94999999999982
2019-01-11,AMZN,178.91999999999985
2020-12-01,TSLA,176.67000000000002
2021-01-07,TSLA,175.69999999999993
2022-03-24,TSLA,175.62
2020-11-27,TSLA,174.0
2020-08-18,AMZN,173.65999999999985
2019-01-15,AMZN,172.58999999999992
2019-06-18,AMZN,171.80999999999995
2020-10-08,AMZN,170.76000000000022
2019-06-19,AMZN,170.28999999999996
2020-10-02,AMZN,170.09000000000015
2022-03-22,TSLA,169.58000000000004
2019-01-07,AMZN,168.68000000000006
2021-11-08,AMZN,168.61000000000013
2021-01-21,AMZN,168.60999999999967
2020-12-28,AMZN,167.53999999999996
2020-02-06,AMZN,165.6500000000001
2020-12-29,AMZN,165.0300000000002
2021-11-17,AMZN,165.0
2021-06-15,AMZN,164.48000000000002
2019-06-20,AMZN,163.83000000000015
2020-06-23,AMZN,163.54999999999973
2018-09-04,AMZN,162.79999999999995
2020-06-17,AMZN,162.57999999999993
2021-06-14,AMZN,160.79999999999973
2017-11-08,AMZN,159.97000000000014
2020-08-24,AMZN,159.30000000000018
2020-11-30,TSLA,159.10000000000002
2021-03-22,AMZN,158.92000000000007
2020-08-07,AMZN,158.55000000000018
2020-02-04,AMZN,157.67000000000007
2021-11-19,AMZN,157.58000000000038
2020-04-08,AMZN,157.16000000000008
2020-11-25,TSLA,156.87
2020-06-11,AMZN,156.86000000000013
2017-11-09,AMZN,156.70000000000016
2018-12-04,AMZN,156.11000000000013
2018-01-31,AMZN,155.8900000000001
2017-11-06,AMZN,154.36000000000013
2021-09-10,AMZN,153.1500000000001
2021-10-20,AMZN,153.04999999999973
2021-11-12,AMZN,152.72000000000025
2020-02-05,AMZN,152.40999999999985
2020-12-07,TSLA,152.14999999999998
2021-04-05,AMZN,151.76999999999998
2020-02-18,AMZN,151.47000000000003
2021-04-13,TSLA,151.0300000000001
2021-01-14,TSLA,150.22000000000003
2022-02-16,AMZN,149.76000000000022
2022-01-05,TSLA,149.58999999999992
2018-02-23,AMZN,149.5
2021-01-11,TSLA,149.42000000000007
2018-07-18,AMZN,148.96000000000004
2020-06-26,AMZN,147.8499999999999
2018-05-09,AMZN,147.82999999999993
2020-10-16,AMZN,147.71000000000004
2017-11-07,AMZN,147.2700000000001
2021-10-28,AMZN,146.71000000000004
2020-05-20,AMZN,146.67999999999984
2020-11-05,AMZN,145.5999999999999
2021-04-19,AMZN,145.2800000000002
2020-11-24,TSLA,145.01999999999998
2019-01-16,AMZN,144.64999999999986
2019-03-22,AMZN,143.97000000000003
2020-06-30,AMZN,143.55000000000018
2020-06-16,AMZN,142.86000000000013
2018-08-14,AMZN,142.21000000000004
2021-04-07,AMZN,141.88999999999987
2020-03-31,AMZN,141.8800000000001
2018-04-27,AMZN,141.82999999999993
2021-07-16,AMZN,140.6600000000003
2022-03-23,TSLA,140.14
2020-07-20,AMZN,139.80000000000018
2020-02-03,AMZN,139.48000000000002
2019-01-14,AMZN,139.19000000000005
2019-07-10,AMZN,139.1400000000001
2018-12-10,AMZN,138.97000000000003
2020-07-21,AMZN,138.17000000000007
2021-11-08,TSLA,138.08000000000015
2018-07-12,AMZN,136.1099999999999
2018-01-16,AMZN,135.38999999999987
2018-02-02,AMZN,135.37000000000012
2021-04-01,AMZN,133.01000000000022
2018-01-30,AMZN,132.96000000000004
2021-10-21,AMZN,132.58000000000038
2018-05-08,AMZN,132.30000000000018
2020-05-19,AMZN,131.52999999999975
2021-11-30,TSLA,131.37
2020-08-31,TSLA,131.192
2020-01-31,AMZN,130.77999999999997
2021-03-17,AMZN,130.73000000000002
2018-08-31,AMZN,130.49
2018-07-17,AMZN,130.1500000000001
2021-01-22,AMZN,130.07000000000016
2021-12-31,TSLA,129.86
2020-08-25,TSLA,129.79000000000002
2021-10-26,AMZN,128.74000000000024
2020-08-12,AMZN,128.70999999999958
2017-11-03,AMZN,128.68999999999994
2019-03-20,AMZN,128.31999999999994
2020-12-08,TSLA,128.02999999999997
2021-12-29,TSLA,127.68000000000006
2019-07-15,AMZN,127.3599999999999
2020-12-02,TSLA,127.21000000000004
2020-11-16,AMZN,126.57999999999993
2020-02-14,AMZN,126.14999999999986
2021-10-15,AMZN,125.75999999999976
2018-02-27,AMZN,125.75
