Date,Name,Price
2020-01-16,AMZN,1877.94
2018-08-20,AMZN,1876.71
2020-01-03,AMZN,1874.97
2019-05-15,AMZN,1871.15
2020-01-30,AMZN,1870.68
2018-10-09,AMZN,1870.32
2019-06-13,AMZN,1870.3
2019-12-27,AMZN,1869.8
2019-06-14,AMZN,1869.67
2020-01-14,AMZN,1869.44
2019-05-17,AMZN,1869.0
2019-12-26,AMZN,1868.77
2019-07-31,AMZN,1866.78
2019-04-17,AMZN,1864.82
2020-01-17,AMZN,1864.72
2018-10-08,AMZN,1864.42
2019-06-11,AMZN,1863.7
2018-07-25,AMZN,1863.61
2019-04-16,AMZN,1863.04
2018-08-07,AMZN,1862.48
2020-01-15,AMZN,1862.02
2019-04-18,AMZN,1861.69
2020-01-24,AMZN,1861.64
2019-06-10,AMZN,1860.63
2019-05-22,AMZN,1859.68
2019-05-20,AMZN,1858.97
2020-01-29,AMZN,1858.0
2019-05-21,AMZN,1857.52
2019-06-12,AMZN,1855.32
2019-08-01,AMZN,1855.32
2020-01-28,AMZN,1853.25
2019-04-08,AMZN,1849.86
2019-12-31,AMZN,1847.84
2018-08-06,AMZN,1847.75
2019-04-10,AMZN,1847.33
2019-12-30,AMZN,1846.89
2020-03-20,AMZN,1846.09
2019-04-15,AMZN,1844.87
2019-04-11,AMZN,1844.07
2018-07-17,AMZN,1843.93
2019-09-12,AMZN,1843.55
2019-04-12,AMZN,1843.06
2018-07-18,AMZN,1842.92
2019-09-05,AMZN,1840.72
2019-05-14,AMZN,1840.12
2019-09-13,AMZN,1839.34
2019-04-05,AMZN,1837.28
2019-05-28,AMZN,1836.43
2019-04-09,AMZN,1835.84
2018-08-02,AMZN,1834.33
2019-09-06,AMZN,1833.51
2019-08-08,AMZN,1832.89
2018-10-17,AMZN,1831.73
2019-09-09,AMZN,1831.35
2020-03-18,AMZN,1830.0
2018-07-24,AMZN,1829.24
2020-01-27,AMZN,1828.34
2019-08-13,AMZN,1824.34
2019-08-21,AMZN,1823.54
2018-08-03,AMZN,1823.29
2019-05-24,AMZN,1823.28
2019-08-02,AMZN,1823.24
2019-09-11,AMZN,1822.99
2019-05-13,AMZN,1822.68
2019-09-17,AMZN,1822.55
2018-07-16,AMZN,1822.49
